,0
0,0.0
1,0.0031993139135996283
2,0.006398627827199257
3,0.006890829967753046
4,0.030744408216935692
5,0.05130593140797222
6,0.0832816755893679
7,0.13615348459286034
8,0.18152273316274403
9,0.20567188210245435
10,0.24169175011665855
11,0.36028463770399255
12,0.36234189510833503
13,0.37037879924957
14,0.4660689712838281
15,0.4940966021464888
16,0.515357292873281
17,0.6386664198622457
18,0.6423765583528896
19,0.7728919606470627
20,0.7794215197869683
21,0.7892620072660962
22,0.8537458611834349
23,0.9343339938024323
24,0.940630762086126
25,0.9743467263990251
26,0.9926719513473344
27,1.0
