,0
0,0.0
1,0.010429593082654306
2,0.046500211806334256
3,0.06722618041299361
4,0.1065709800403678
5,0.11856726911671966
6,0.12373187488394861
7,0.13073559093967257
8,0.14167773618323068
9,0.14551655827166032
10,0.21845172870813898
11,0.2649298976885184
12,0.41273489823785675
13,0.44210429352118785
14,0.4695558942857862
15,0.5503353805224119
16,0.6350943314458436
17,0.7294065141106371
18,0.7790515311801972
19,0.7893167085175187
20,0.8190358256461526
21,0.9009054463842888
22,0.9014420991433102
23,0.9482101352284235
24,0.9755170808585424
25,0.9899563426270733
26,1.0
