,0
0,0.0
1,0.001984126984126984
2,0.003968253968253968
3,0.00641025641025641
4,0.011904761904761904
5,0.014957264957264958
6,0.016129032258064516
7,0.01984126984126984
8,0.02564102564102564
9,0.02976190476190476
10,0.06837606837606838
11,0.08333333333333333
12,0.13034188034188035
13,0.14516129032258066
14,0.16071428571428573
15,0.23931623931623933
16,0.3225806451612903
17,0.3870967741935484
18,0.4444444444444444
19,0.4603174603174603
20,0.5161290322580645
21,0.7243589743589743
22,0.7258064516129032
23,0.8548387096774194
24,0.9354838709677419
25,0.967741935483871
26,1.0
