,fpr,tpr
0,0.0,0.0
1,0.0,0.07692307692307693
2,0.023809523809523808,0.07692307692307693
3,0.023809523809523808,0.15384615384615385
4,0.025793650793650792,0.15384615384615385
5,0.025793650793650792,0.23076923076923078
6,0.02976190476190476,0.23076923076923078
7,0.02976190476190476,0.3076923076923077
8,0.03968253968253968,0.3076923076923077
9,0.03968253968253968,0.38461538461538464
10,0.06547619047619048,0.38461538461538464
11,0.06547619047619048,0.46153846153846156
12,0.0873015873015873,0.46153846153846156
13,0.0873015873015873,0.5384615384615384
14,0.12301587301587301,0.5384615384615384
15,0.12301587301587301,0.6153846153846154
16,0.2261904761904762,0.6153846153846154
17,0.2261904761904762,0.6923076923076923
18,0.31746031746031744,0.6923076923076923
19,0.31746031746031744,0.7692307692307693
20,0.44246031746031744,0.7692307692307693
21,0.44246031746031744,0.8461538461538461
22,0.7559523809523809,0.8461538461538461
23,0.7559523809523809,0.9230769230769231
24,0.8452380952380952,0.9230769230769231
25,0.8452380952380952,1.0
26,1.0,1.0
