FPR,HFS-LightGBM-TPR
0,0
0.01010101,0.198616718
0.02020202,0.242900865
0.03030303,0.26214161
0.04040404,0.280844804
0.050505051,0.305644747
0.060606061,0.348566596
0.070707071,0.371520153
0.080808081,0.395715189
0.090909091,0.420154979
0.101010101,0.433433289
0.111111111,0.446447936
0.121212121,0.461469421
0.131313131,0.473814384
0.141414141,0.488861198
0.151515152,0.505942832
0.161616162,0.518927296
0.171717172,0.529774416
0.181818182,0.538360155
0.191919192,0.544403647
0.202020202,0.550387717
0.212121212,0.561930067
0.222222222,0.570206244
0.232323232,0.580241288
0.242424242,0.589337333
0.252525253,0.603136396
0.262626263,0.613866439
0.272727273,0.627504517
0.282828283,0.634906408
0.292929293,0.639683925
0.303030303,0.64756907
0.313131313,0.657982463
0.323232323,0.66254983
0.333333333,0.667782805
0.343434343,0.675382527
0.353535354,0.679257057
0.363636364,0.68235158
0.373737374,0.687078957
0.383838384,0.702307611
0.393939394,0.724040678
0.404040404,0.740493295
0.414141414,0.746504827
0.424242424,0.752021205
0.434343434,0.759036407
0.444444444,0.768816827
0.454545455,0.790095433
0.464646465,0.802966317
0.474747475,0.816132506
0.484848485,0.823809718
0.494949495,0.834052985
0.505050505,0.840717226
0.515151515,0.843229427
0.525252525,0.847078506
0.535353535,0.852150328
0.545454545,0.858140998
0.555555556,0.865630637
0.565656566,0.875789352
0.575757576,0.881289938
0.585858586,0.884478281
0.595959596,0.887903522
0.606060606,0.894071569
0.616161616,0.903478004
0.626262626,0.910754433
0.636363636,0.914088416
0.646464646,0.916263809
0.656565657,0.921012645
0.666666667,0.924543609
0.676767677,0.926266931
0.686868687,0.928820753
0.696969697,0.932544604
0.707070707,0.935947614
0.717171717,0.939827559
0.727272727,0.941717798
0.737373737,0.943597256
0.747474747,0.946148883
0.757575758,0.948567445
0.767676768,0.951379319
0.777777778,0.954900144
0.787878788,0.957782318
0.797979798,0.959863648
0.808080808,0.962348144
0.818181818,0.964789694
0.828282828,0.96723995
0.838383838,0.970131915
0.848484848,0.973383823
0.858585859,0.975624088
0.868686869,0.97826114
0.878787879,0.981779335
0.888888889,0.985839874
0.898989899,0.99047717
0.909090909,0.993421337
0.919191919,0.994514401
0.929292929,0.995220678
0.939393939,0.995926955
0.949494949,0.999077094
0.95959596,0.999460323
0.96969697,0.999691434
0.97979798,0.999794289
0.98989899,0.999897145
1,1
