,0
0,0.0
1,0.17565368237598925
2,0.20451050516411845
3,0.22752841428363282
4,0.25645964609905275
5,0.28851999686020197
6,0.34326422166219095
7,0.3715108887288051
8,0.3887046065650278
9,0.41036973101935714
10,0.4302898690301954
11,0.4456391850204403
12,0.4672179726654676
13,0.474816878044343
14,0.48402553469494203
15,0.49277295852055814
16,0.5031627911013679
17,0.5120752773436971
18,0.5205366771841042
19,0.5311970528035406
20,0.5438575088263715
21,0.557657391559727
22,0.5726782680443978
23,0.5792497162573783
24,0.5857370707028264
25,0.6086865123226677
26,0.615632341662642
27,0.6236960356843546
28,0.6391010519660878
29,0.6490399710956342
30,0.6609391920896479
31,0.6696009861247878
32,0.6770470217878255
33,0.6843747207915228
34,0.6921482073020642
35,0.7015588790138604
36,0.7122312898778174
37,0.7202972554182557
38,0.7257206693597592
39,0.7311326304750232
40,0.7362508460208117
41,0.7413543490241504
42,0.7531841710131473
43,0.7591342386054387
44,0.7747517363431154
45,0.785094777711768
46,0.7897414421260404
47,0.7941198634196545
48,0.8010297146714956
49,0.807005780084159
50,0.8211879788978749
51,0.8370915731636254
52,0.8420459082128359
53,0.8473885923046222
54,0.8532441400019275
55,0.8603605035730899
56,0.863638787263729
57,0.8697497106441678
58,0.872591507294999
59,0.8736479009414188
60,0.8747260895988808
61,0.8761861730760365
62,0.8778047250567449
63,0.8793047495234282
64,0.8829181562330366
65,0.889237381910885
66,0.8937369539325586
67,0.914688429106674
68,0.9196303990194916
69,0.9258908792091047
70,0.9311826204425161
71,0.9354000058122697
72,0.9396594901520412
73,0.94400482353946
74,0.9474479344714221
75,0.9501221436748708
76,0.9536867587676825
77,0.9575214626162106
78,0.9597341830992147
79,0.9616803098515725
80,0.9634428390347122
81,0.9654336917811518
82,0.9678272496384048
83,0.9704408913365246
84,0.9726915963080718
85,0.9760153953754414
86,0.9803566222538656
87,0.9836253576747283
88,0.986795407201895
89,0.9895728226067115
90,0.9917979064559461
91,0.9931907012951514
92,0.9942946167281159
93,0.9953985321610801
94,0.9964237384244263
95,0.9973702355181544
96,0.9983167326118823
97,0.9992632297056103
98,0.9996997425232719
99,1.0
