FPR,RF-TPR,FPR,ET-TPR,FPR,AdaBoost-TPR,FPR,GBDT-TPR,FPR,XGBoost-TPR,FPR,LightGBM-TPR,FPR,HFS-LightGBM-TPR
,,,,0.224358974,0.39162742,0.161290323,0.506436421,0.14516129,0.520565149,0.177419355,0.526425955,0.161290323,0.550811094
,,,,0.225806452,0.393825222,0.173076923,0.513239142,0.147435897,0.52736787,0.179487179,0.533228676,0.175213675,0.557613815
,,,,0.23015873,0.393825222,0.177419355,0.522030351,0.155982906,0.534170591,0.193548387,0.53762428,0.177419355,0.564939822
,,,,0.234126984,0.393825222,0.192307692,0.528833072,0.161290323,0.55321821,0.194444444,0.544427002,0.183760684,0.571742543
,,,,0.241935484,0.395290424,0.193548387,0.53762428,0.170940171,0.560020931,0.205128205,0.551229723,0.193548387,0.57833595
,,,,0.247863248,0.402093145,0.198717949,0.544427002,0.177419355,0.564416536,0.207264957,0.558032444,0.207264957,0.585138671
,,,,0.258064516,0.402825746,0.205128205,0.551229723,0.193548387,0.570277342,0.209677419,0.567556253,0.209677419,0.60418629
,,,,0.261904762,0.402825746,0.209401709,0.558032444,0.209677419,0.596650968,0.213675214,0.574358974,0.241935484,0.611512297
,,,,0.265873016,0.402825746,0.209677419,0.559497645,0.213675214,0.603453689,0.225806452,0.578754579,0.273809524,0.637153323
,,,,0.273504274,0.402825746,0.230769231,0.566300366,0.224358974,0.61025641,0.226190476,0.604395604,0.274193548,0.65400314
,,,,0.274193548,0.404290947,0.241935484,0.579487179,0.225806452,0.613186813,0.226495726,0.618001047,0.275641026,0.660805861
,,,,0.277777778,0.404290947,0.258064516,0.601465201,0.228632479,0.619989534,0.235042735,0.624803768,0.290322581,0.665934066
,,,,0.287698413,0.429931973,0.262820513,0.608267923,0.241935484,0.629513344,0.241935484,0.62700157,0.301282051,0.672736787
,,,,0.290322581,0.430664574,0.274193548,0.617791732,0.243589744,0.636316065,0.245726496,0.633804291,0.305555556,0.679539508
,,,,0.290598291,0.437467295,0.290322581,0.621454736,0.258064516,0.637048666,0.258064516,0.652119309,0.322580645,0.68173731
,,,,0.301282051,0.444270016,0.292735043,0.628257457,0.267094017,0.643851387,0.274193548,0.654317111,0.326923077,0.702145474
,,,,0.303571429,0.469911041,0.306451613,0.629722658,0.290322581,0.654840398,0.290322581,0.658712716,0.333333333,0.708948195
,,,,0.306451613,0.472108844,0.311965812,0.636525379,0.292735043,0.661643119,0.306451613,0.677760335,0.338709677,0.719204605
,,,,0.30982906,0.478911565,0.322580645,0.642386185,0.306451613,0.680690738,0.317460317,0.703401361,0.35483871,0.727995814
,,,,0.320512821,0.485714286,0.326923077,0.649188906,0.314102564,0.687493459,0.322580645,0.705599163,0.370967742,0.743380429
,,,,0.337606838,0.492517007,0.338709677,0.666038723,0.322580645,0.71899529,0.338709677,0.709262166,0.380952381,0.769021455
,,,,0.338709677,0.493249608,0.348290598,0.672841444,0.338709677,0.721193093,0.346153846,0.716064887,0.387096774,0.772684458
,,,,0.339285714,0.493249608,0.354700855,0.679644165,0.35483871,0.727053898,0.35483871,0.719727891,0.393162393,0.779487179
,,,,0.343253968,0.493249608,0.35483871,0.68477237,0.370967742,0.730716902,0.370967742,0.735112507,0.397435897,0.786289901
,,,,0.35483871,0.502773417,0.369047619,0.710413396,0.387096774,0.735112507,0.382478632,0.741915228,0.403225806,0.799476714
,,,,0.370967742,0.537205651,0.370967742,0.716274202,0.401709402,0.741915228,0.387096774,0.752904239,0.412393162,0.806279435
,,,,0.38034188,0.537205651,0.373015873,0.741915228,0.403225806,0.742647828,0.393162393,0.766509681,0.419354839,0.809209838
,,,,0.384615385,0.537205651,0.403225806,0.752171638,0.419354839,0.743380429,0.416666667,0.773312402,0.431623932,0.82281528
,,,,0.386752137,0.544008373,0.408119658,0.758974359,0.424603175,0.769021455,0.419354839,0.776975406,0.435483871,0.836002093
,,,,0.386904762,0.569649398,0.419354839,0.761172161,0.435483871,0.769754055,0.435483871,0.792360021,0.451612903,0.836734694
,,,,0.387096774,0.585034014,0.430555556,0.786813187,0.44017094,0.776556777,0.44017094,0.799162742,0.467741935,0.837467295
,,,,0.403225806,0.616535845,0.435483871,0.791208791,0.46031746,0.802197802,0.442460317,0.824803768,0.476495726,0.844270016
,,,,0.405982906,0.623338566,0.436507937,0.816849817,0.474358974,0.809000523,0.451612903,0.832129775,0.483870968,0.845735217
,,,,0.41025641,0.623338566,0.444444444,0.823652538,0.483870968,0.814128728,0.467741935,0.832862376,0.5,0.849398221
,,,,0.414529915,0.623338566,0.451612903,0.829513344,0.508547009,0.82093145,0.476495726,0.839665097,0.516129032,0.855991627
,,,,0.419354839,0.624803768,0.467741935,0.834641549,0.516129032,0.82166405,0.483870968,0.840397698,0.517094017,0.862794349
,,,,0.431623932,0.624803768,0.47008547,0.84144427,0.523504274,0.828466771,0.497863248,0.847200419,0.527777778,0.86959707
,,,,0.435483871,0.635792779,0.495726496,0.848246991,0.52991453,0.835269492,0.5,0.850130822,0.532258065,0.87032967
,,,,0.435897436,0.6425955,0.516129032,0.857770801,0.538461538,0.842072214,0.516129032,0.850863422,0.533730159,0.895970696
,,,,0.448717949,0.649398221,0.519230769,0.864573522,0.548387097,0.843537415,0.532258065,0.852328624,0.540598291,0.902773417
,,,,0.451612903,0.666248038,0.523504274,0.871376243,0.551282051,0.850340136,0.548387097,0.854526426,0.548387097,0.903506018
,,,,0.467741935,0.685295657,0.532051282,0.878178964,0.564516129,0.855468341,0.553418803,0.861329147,0.564516129,0.904238619
,,,,0.47008547,0.692098378,0.532258065,0.878911565,0.580645161,0.856200942,0.564516129,0.866457352,0.580645161,0.907901622
,,,,0.483870968,0.695028781,0.547619048,0.90455259,0.591269841,0.881841968,0.580645161,0.868655154,0.596774194,0.910099424
,,,,0.5,0.697226583,0.548387097,0.908948195,0.596774194,0.883307169,0.583333333,0.875457875,0.61965812,0.916902145
,,,,0.508547009,0.697226583,0.564516129,0.912611198,0.602564103,0.89010989,0.629032258,0.876190476,0.629032258,0.919099948
,,,,0.512820513,0.697226583,0.580645161,0.913343799,0.612903226,0.895238095,0.636752137,0.882993197,0.64516129,0.92129775
,,,,0.516129032,0.708215594,0.58974359,0.92014652,0.629032258,0.895970696,0.64516129,0.887388802,0.651709402,0.928100471
,,,,0.532051282,0.715018315,0.612903226,0.921611722,0.638888889,0.921611722,0.677419355,0.888121402,0.677419355,0.928833072
,,,,0.532258065,0.717216117,0.617521368,0.928414443,0.64516129,0.923076923,0.693548387,0.888854003,0.693548387,0.929565672
,,,,0.540598291,0.724018838,0.629032258,0.929147043,0.661290323,0.927472527,0.696581197,0.895656724,0.712301587,0.955206698
,,,,0.548387097,0.728414443,0.658119658,0.935949765,0.662393162,0.934275249,0.725806452,0.900052329,0.722222222,0.962009419
,,,,0.557692308,0.728414443,0.661290323,0.938880167,0.677419355,0.935007849,0.741935484,0.900784929,0.725806452,0.963474621
,,,,0.55952381,0.728414443,0.677419355,0.940345369,0.693548387,0.936473051,0.755952381,0.926425955,0.758064516,0.967870225
,,,,0.561965812,0.728414443,0.709677419,0.943275772,0.705128205,0.943275772,0.756410256,0.933228676,0.774193548,0.968602826
,,,,0.56547619,0.728414443,0.725806452,0.945473574,0.741935484,0.944008373,0.758064516,0.933961277,0.806451613,0.970068027
,,,,0.572649573,0.735217164,0.741935484,0.946206175,0.774193548,0.945473574,0.774193548,0.936159079,0.838709677,0.970800628
,,,,0.574786325,0.735217164,0.758064516,0.946938776,0.788461538,0.952276295,0.799145299,0.9429618,0.85483871,0.972265829
,,,,0.579365079,0.735217164,0.774193548,0.949869178,0.806451613,0.955206698,0.806451613,0.945159602,0.903225806,0.97299843
,,,,0.580645161,0.739612768,0.790322581,0.952066981,0.822580645,0.955939299,0.845238095,0.970800628,0.908119658,0.979801151
,,,,0.581196581,0.739612768,0.805555556,0.958869702,0.838709677,0.959602302,0.85483871,0.972265829,0.919354839,0.981266353
,,,,0.583333333,0.739612768,0.822580645,0.961800105,0.85483871,0.961067504,0.870967742,0.97299843,0.929487179,0.988069074
,,,,0.596774194,0.74181057,0.838709677,0.964730508,0.870967742,0.96692831,0.903225806,0.973731031,0.951612903,0.989534275
,,,,0.604700855,0.748613291,0.852564103,0.971533229,0.878205128,0.973731031,0.925213675,0.987336473,0.963675214,0.996336996
,,,,0.611111111,0.748613291,0.882478632,0.97833595,0.887096774,0.974463632,0.935483871,0.988801675,0.967741935,0.997069597
,,,,0.615079365,0.748613291,0.887096774,0.980533752,0.893162393,0.981266353,0.951612903,0.990999477,0.983870968,0.999267399
,,,,0.615384615,0.748613291,0.888888889,0.987336473,0.903225806,0.983464155,0.959401709,0.997802198,1,1
,,,,0.629032258,0.755939299,0.919354839,0.988801675,0.919354839,0.984196756,0.967741935,0.998534799,,
,,,,0.64516129,0.761067504,0.935483871,0.990999477,0.951612903,0.984929356,0.983870968,0.999267399,,
,,,,0.661290323,0.76692831,0.951612903,0.991732077,0.952991453,0.991732077,1,1,,
,,,,0.672619048,0.76692831,0.967948718,0.998534799,0.974358974,0.998534799,,,,
,,,,0.673076923,0.773731031,1,1,0.983870968,1,,,,
,,,,0.676587302,0.773731031,,,1,1,,,,
,,,,0.677419355,0.785452643,,,,,,,,
,,,,0.678571429,0.785452643,,,,,,,,
,,,,0.682539683,0.785452643,,,,,,,,
,,,,0.683760684,0.792255364,,,,,,,,
