fpr,RF-tpr,fpr,ET-tpr,fpr,AdaBoost-tpr,fpr,GBDT-tpr,fpr,XGBoost-tpr,fpr,LightGBM-tpr,fpr,HFS-LightGBM-tpr
,,,,0.370967742,0.298901099,0.322580645,0.679120879,0.338709677,0.791208791,0.322580645,0.694505495,0.35483871,0.720879121
,,,,0.370967742,0.303296703,0.338709677,0.679120879,0.338709677,0.797802198,0.338709677,0.694505495,0.370967742,0.720879121
,,,,0.370967742,0.312087912,0.338709677,0.72967033,0.35483871,0.797802198,0.338709677,0.705494505,0.370967742,0.767032967
,,,,0.370967742,0.316483516,0.35483871,0.72967033,0.35483871,0.815384615,0.35483871,0.705494505,0.387096774,0.767032967
,,,,0.370967742,0.327472527,0.35483871,0.745054945,0.370967742,0.815384615,0.35483871,0.716483516,0.387096774,0.778021978
,,,,0.387096774,0.327472527,0.370967742,0.745054945,0.370967742,0.826373626,0.370967742,0.716483516,0.403225806,0.778021978
,,,,0.387096774,0.340659341,0.370967742,0.762637363,0.387096774,0.826373626,0.370967742,0.762637363,0.403225806,0.817582418
,,,,0.387096774,0.345054945,0.403225806,0.762637363,0.387096774,0.83956044,0.387096774,0.762637363,0.419354839,0.817582418
,,,,0.387096774,0.347252747,0.403225806,0.793406593,0.403225806,0.83956044,0.387096774,0.795604396,0.419354839,0.826373626
,,,,0.387096774,0.353846154,0.419354839,0.793406593,0.403225806,0.841758242,0.419354839,0.795604396,0.435483871,0.826373626
,,,,0.387096774,0.373626374,0.419354839,0.8,0.419354839,0.841758242,0.419354839,0.806593407,0.435483871,0.865934066
,,,,0.403225806,0.373626374,0.435483871,0.8,0.419354839,0.843956044,0.435483871,0.806593407,0.451612903,0.865934066
,,,,0.403225806,0.389010989,0.435483871,0.813186813,0.435483871,0.843956044,0.435483871,0.852747253,0.451612903,0.868131868
,,,,0.403225806,0.393406593,0.451612903,0.813186813,0.435483871,0.846153846,0.451612903,0.852747253,0.467741935,0.868131868
,,,,0.403225806,0.468131868,0.451612903,0.830769231,0.483870968,0.846153846,0.451612903,0.874725275,0.467741935,0.87032967
,,,,0.419354839,0.468131868,0.467741935,0.830769231,0.483870968,0.861538462,0.467741935,0.874725275,0.483870968,0.87032967
,,,,0.419354839,0.472527473,0.467741935,0.846153846,0.516129032,0.861538462,0.467741935,0.876923077,0.483870968,0.874725275
,,,,0.435483871,0.472527473,0.516129032,0.846153846,0.516129032,0.863736264,0.483870968,0.876923077,0.5,0.874725275
,,,,0.435483871,0.479120879,0.516129032,0.874725275,0.548387097,0.863736264,0.483870968,0.879120879,0.5,0.885714286
,,,,0.435483871,0.483516484,0.532258065,0.874725275,0.548387097,0.868131868,0.5,0.879120879,0.516129032,0.885714286
,,,,0.435483871,0.505494505,0.532258065,0.876923077,0.564516129,0.868131868,0.5,0.887912088,0.516129032,0.905494505
,,,,0.451612903,0.505494505,0.548387097,0.876923077,0.564516129,0.883516484,0.516129032,0.887912088,0.532258065,0.905494505
,,,,0.451612903,0.507692308,0.548387097,0.89010989,0.580645161,0.883516484,0.516129032,0.89010989,0.532258065,0.907692308
,,,,0.451612903,0.512087912,0.564516129,0.89010989,0.580645161,0.885714286,0.532258065,0.89010989,0.548387097,0.907692308
,,,,0.451612903,0.520879121,0.564516129,0.901098901,0.596774194,0.885714286,0.532258065,0.894505495,0.548387097,0.90989011
,,,,0.451612903,0.525274725,0.580645161,0.901098901,0.596774194,0.89010989,0.548387097,0.894505495,0.564516129,0.90989011
,,,,0.451612903,0.556043956,0.580645161,0.903296703,0.612903226,0.89010989,0.548387097,0.901098901,0.564516129,0.912087912
,,,,0.467741935,0.556043956,0.612903226,0.903296703,0.612903226,0.905494505,0.564516129,0.901098901,0.580645161,0.912087912
,,,,0.467741935,0.613186813,0.612903226,0.907692308,0.629032258,0.905494505,0.564516129,0.916483516,0.580645161,0.923076923
,,,,0.483870968,0.613186813,0.629032258,0.907692308,0.629032258,0.907692308,0.580645161,0.916483516,0.596774194,0.923076923
,,,,0.483870968,0.621978022,0.629032258,0.90989011,0.64516129,0.907692308,0.580645161,0.923076923,0.596774194,0.92967033
,,,,0.5,0.624175824,0.661290323,0.90989011,0.64516129,0.912087912,0.629032258,0.923076923,0.629032258,0.92967033
,,,,0.5,0.628571429,0.661290323,0.918681319,0.661290323,0.912087912,0.629032258,0.925274725,0.629032258,0.936263736
,,,,0.516129032,0.628571429,0.677419355,0.918681319,0.661290323,0.925274725,0.64516129,0.925274725,0.64516129,0.936263736
,,,,0.516129032,0.661538462,0.677419355,0.923076923,0.677419355,0.925274725,0.64516129,0.938461538,0.64516129,0.942857143
