,0
0,0.0
1,0.001984126984126984
2,0.002136752136752137
3,0.005952380952380952
4,0.00641025641025641
5,0.016129032258064516
6,0.017857142857142856
7,0.019230769230769232
8,0.021367521367521368
9,0.03632478632478633
10,0.042735042735042736
11,0.04700854700854701
12,0.047619047619047616
13,0.04838709677419355
14,0.05555555555555555
15,0.057539682539682536
16,0.057692307692307696
17,0.06451612903225806
18,0.06547619047619048
19,0.08064516129032258
20,0.08134920634920635
21,0.09188034188034189
22,0.10256410256410256
23,0.11290322580645161
24,0.12903225806451613
25,0.1517094017094017
26,0.15598290598290598
27,0.16129032258064516
28,0.1623931623931624
29,0.16452991452991453
30,0.16666666666666666
31,0.1935483870967742
32,0.20726495726495728
33,0.20967741935483872
34,0.22435897435897437
35,0.22580645161290322
36,0.23015873015873015
37,0.23412698412698413
38,0.24193548387096775
39,0.24786324786324787
40,0.25806451612903225
41,0.2619047619047619
42,0.26587301587301587
43,0.27350427350427353
44,0.27419354838709675
45,0.2777777777777778
46,0.2876984126984127
47,0.2903225806451613
48,0.2905982905982906
49,0.30128205128205127
50,0.30357142857142855
51,0.3064516129032258
52,0.30982905982905984
53,0.32051282051282054
54,0.33760683760683763
55,0.3387096774193548
56,0.3392857142857143
57,0.34325396825396826
58,0.3548387096774194
59,0.3709677419354839
60,0.3803418803418803
61,0.38461538461538464
62,0.38675213675213677
63,0.3869047619047619
64,0.3870967741935484
65,0.4032258064516129
66,0.405982905982906
67,0.41025641025641024
68,0.41452991452991456
69,0.41935483870967744
70,0.43162393162393164
71,0.43548387096774194
72,0.4358974358974359
73,0.44871794871794873
74,0.45161290322580644
75,0.46774193548387094
76,0.4700854700854701
77,0.4838709677419355
78,0.5
79,0.5085470085470085
80,0.5128205128205128
81,0.5161290322580645
82,0.532051282051282
83,0.532258064516129
84,0.5405982905982906
85,0.5483870967741935
86,0.5576923076923077
87,0.5595238095238095
88,0.561965811965812
89,0.5654761904761905
90,0.5726495726495726
91,0.5747863247863247
92,0.5793650793650794
93,0.5806451612903226
94,0.5811965811965812
95,0.5833333333333334
96,0.5967741935483871
97,0.6047008547008547
98,0.6111111111111112
99,0.6150793650793651
100,0.6153846153846154
101,0.6290322580645161
102,0.6451612903225806
103,0.6612903225806451
104,0.6726190476190477
105,0.6730769230769231
106,0.6765873015873016
107,0.6774193548387096
108,0.6785714285714286
109,0.6825396825396826
110,0.6837606837606838
111,0.6935483870967742
112,0.7083333333333334
113,0.7096774193548387
114,0.7123015873015873
115,0.7222222222222222
116,0.7258064516129032
117,0.7261904761904762
118,0.7419354838709677
119,0.7542735042735043
120,0.7606837606837606
121,0.7741935483870968
122,0.7777777777777778
123,0.7817460317460317
124,0.8064516129032258
125,0.811965811965812
126,0.8141025641025641
127,0.8162393162393162
128,0.8174603174603174
129,0.8205128205128205
130,0.8225806451612904
131,0.8247863247863247
132,0.8290598290598291
133,0.8387096774193549
134,0.8548387096774194
135,0.8568376068376068
136,0.8611111111111112
137,0.8709677419354839
138,0.8870967741935484
139,0.9032258064516129
140,0.9166666666666666
141,0.9193548387096774
142,0.9246031746031746
143,0.9516129032258065
144,0.9615384615384616
145,0.9700854700854701
146,0.9829059829059829
147,0.9920634920634921
148,1.0
