FPR,AdaBoost-TPR
0,0
0.001984127,0
0.002136752,0
0.005952381,0.025641026
0.006410256,0.039246468
0.016129032,0.042909471
0.017857143,0.068550497
0.019230769,0.082155939
0.021367521,0.08895866
0.036324786,0.095761381
0.042735043,0.102564103
0.047008547,0.109366824
0.047619048,0.135007849
0.048387097,0.148194662
0.055555556,0.180638409
0.057539683,0.206279435
0.057692308,0.219884877
0.064516129,0.232339089
0.06547619,0.257980115
0.080645161,0.268236525
0.081349206,0.293877551
0.091880342,0.300680272
0.102564103,0.307482993
0.112903226,0.308948195
0.129032258,0.314809001
0.151709402,0.321611722
0.155982906,0.335217164
0.161290323,0.335949765
0.162393162,0.342752486
0.164529915,0.349555207
0.166666667,0.356357928
0.193548387,0.362951334
0.207264957,0.369754055
0.209677419,0.371219257
0.224358974,0.39162742
0.225806452,0.393825222
0.23015873,0.393825222
0.234126984,0.393825222
0.241935484,0.395290424
0.247863248,0.402093145
0.258064516,0.402825746
0.261904762,0.402825746
0.265873016,0.402825746
0.273504274,0.402825746
0.274193548,0.404290947
0.277777778,0.404290947
0.287698413,0.429931973
0.290322581,0.430664574
0.290598291,0.437467295
0.301282051,0.444270016
0.303571429,0.469911041
0.306451613,0.472108844
0.30982906,0.478911565
0.320512821,0.485714286
0.337606838,0.492517007
0.338709677,0.493249608
0.339285714,0.493249608
0.343253968,0.493249608
0.35483871,0.502773417
0.370967742,0.537205651
0.38034188,0.537205651
0.384615385,0.537205651
0.386752137,0.544008373
0.386904762,0.569649398
0.387096774,0.585034014
0.403225806,0.616535845
0.405982906,0.623338566
0.41025641,0.623338566
0.414529915,0.623338566
0.419354839,0.624803768
0.431623932,0.624803768
0.435483871,0.635792779
0.435897436,0.6425955
0.448717949,0.649398221
0.451612903,0.666248038
0.467741935,0.685295657
0.47008547,0.692098378
0.483870968,0.695028781
0.5,0.697226583
0.508547009,0.697226583
0.512820513,0.697226583
0.516129032,0.708215594
0.532051282,0.715018315
0.532258065,0.717216117
0.540598291,0.724018838
0.548387097,0.728414443
0.557692308,0.728414443
0.55952381,0.728414443
0.561965812,0.728414443
0.56547619,0.728414443
0.572649573,0.735217164
0.574786325,0.735217164
0.579365079,0.735217164
0.580645161,0.739612768
0.581196581,0.739612768
0.583333333,0.739612768
0.596774194,0.74181057
0.604700855,0.748613291
0.611111111,0.748613291
0.615079365,0.748613291
0.615384615,0.748613291
0.629032258,0.755939299
0.64516129,0.761067504
0.661290323,0.76692831
0.672619048,0.76692831
0.673076923,0.773731031
0.676587302,0.773731031
0.677419355,0.785452643
0.678571429,0.785452643
0.682539683,0.785452643
0.683760684,0.792255364
0.693548387,0.795185767
0.708333333,0.795185767
0.709677419,0.795918367
0.712301587,0.795918367
0.722222222,0.795918367
0.725806452,0.805442177
0.726190476,0.805442177
0.741935484,0.811302983
0.754273504,0.818105704
0.760683761,0.824908425
0.774193548,0.827838828
0.777777778,0.827838828
0.781746032,0.827838828
0.806451613,0.828571429
0.811965812,0.83537415
0.814102564,0.83537415
0.816239316,0.842176871
0.817460317,0.867817896
0.820512821,0.874620617
0.822580645,0.878283621
0.824786325,0.878283621
0.829059829,0.878283621
0.838709677,0.890005233
0.85483871,0.896598639
0.856837607,0.896598639
0.861111111,0.896598639
0.870967742,0.89733124
0.887096774,0.902459445
0.903225806,0.912715856
0.916666667,0.919518577
0.919354839,0.924646782
0.924603175,0.950287807
0.951612903,0.951753009
0.961538462,0.95855573
0.97008547,0.965358451
0.982905983,0.972161172
0.992063492,0.997802198
1,1
