,fpr,tpr
0,0.0,0.0
1,0.002136752136752137,0.0
2,0.00641025641025641,0.0
3,0.00641025641025641,0.04081632653061224
4,0.019230769230769232,0.04081632653061224
5,0.019230769230769232,0.08163265306122448
6,0.021367521367521368,0.08163265306122448
7,0.021367521367521368,0.10204081632653061
8,0.03632478632478633,0.10204081632653061
9,0.03632478632478633,0.12244897959183673
10,0.042735042735042736,0.12244897959183673
11,0.042735042735042736,0.14285714285714285
12,0.04700854700854701,0.14285714285714285
13,0.04700854700854701,0.16326530612244897
14,0.05555555555555555,0.16326530612244897
15,0.05555555555555555,0.1836734693877551
16,0.057692307692307696,0.1836734693877551
17,0.057692307692307696,0.22448979591836735
18,0.09188034188034189,0.22448979591836735
19,0.09188034188034189,0.24489795918367346
20,0.10256410256410256,0.24489795918367346
21,0.10256410256410256,0.2653061224489796
22,0.1517094017094017,0.2653061224489796
23,0.1517094017094017,0.2857142857142857
24,0.15598290598290598,0.2857142857142857
25,0.15598290598290598,0.32653061224489793
26,0.1623931623931624,0.32653061224489793
27,0.1623931623931624,0.3469387755102041
28,0.16452991452991453,0.3469387755102041
29,0.16452991452991453,0.3673469387755102
30,0.16666666666666666,0.3673469387755102
31,0.16666666666666666,0.3877551020408163
32,0.20726495726495728,0.3877551020408163
33,0.20726495726495728,0.40816326530612246
34,0.22435897435897437,0.40816326530612246
35,0.22435897435897437,0.46938775510204084
36,0.24786324786324787,0.46938775510204084
37,0.24786324786324787,0.4897959183673469
38,0.27350427350427353,0.4897959183673469
39,0.2777777777777778,0.4897959183673469
40,0.2905982905982906,0.4897959183673469
41,0.2905982905982906,0.5102040816326531
42,0.30128205128205127,0.5102040816326531
43,0.30128205128205127,0.5306122448979592
44,0.30982905982905984,0.5306122448979592
45,0.30982905982905984,0.5510204081632653
46,0.32051282051282054,0.5510204081632653
47,0.32051282051282054,0.5714285714285714
48,0.33760683760683763,0.5714285714285714
49,0.33760683760683763,0.5918367346938775
50,0.3803418803418803,0.5918367346938775
51,0.38461538461538464,0.5918367346938775
52,0.38675213675213677,0.5918367346938775
53,0.38675213675213677,0.6122448979591837
54,0.405982905982906,0.6122448979591837
55,0.405982905982906,0.6326530612244898
56,0.41025641025641024,0.6326530612244898
57,0.41452991452991456,0.6326530612244898
58,0.43162393162393164,0.6326530612244898
59,0.4358974358974359,0.6326530612244898
60,0.4358974358974359,0.6530612244897959
61,0.44871794871794873,0.6530612244897959
62,0.44871794871794873,0.673469387755102
63,0.4700854700854701,0.673469387755102
64,0.4700854700854701,0.6938775510204082
65,0.5085470085470085,0.6938775510204082
66,0.5128205128205128,0.6938775510204082
67,0.532051282051282,0.6938775510204082
68,0.532051282051282,0.7142857142857143
69,0.5405982905982906,0.7142857142857143
70,0.5405982905982906,0.7346938775510204
71,0.5576923076923077,0.7346938775510204
72,0.561965811965812,0.7346938775510204
73,0.5726495726495726,0.7346938775510204
74,0.5726495726495726,0.7551020408163265
75,0.5747863247863247,0.7551020408163265
76,0.5811965811965812,0.7551020408163265
77,0.6047008547008547,0.7551020408163265
78,0.6047008547008547,0.7755102040816326
79,0.6111111111111112,0.7755102040816326
80,0.6153846153846154,0.7755102040816326
81,0.6730769230769231,0.7755102040816326
82,0.6730769230769231,0.7959183673469388
83,0.6837606837606838,0.7959183673469388
84,0.6837606837606838,0.8163265306122449
85,0.7542735042735043,0.8163265306122449
86,0.7542735042735043,0.8367346938775511
87,0.7606837606837606,0.8367346938775511
88,0.7606837606837606,0.8571428571428571
89,0.811965811965812,0.8571428571428571
90,0.811965811965812,0.8775510204081632
91,0.8141025641025641,0.8775510204081632
92,0.8162393162393162,0.8979591836734694
93,0.8205128205128205,0.8979591836734694
94,0.8205128205128205,0.9183673469387755
95,0.8247863247863247,0.9183673469387755
96,0.8290598290598291,0.9183673469387755
97,0.8568376068376068,0.9183673469387755
98,0.8611111111111112,0.9183673469387755
99,0.9166666666666666,0.9183673469387755
100,0.9166666666666666,0.9387755102040817
101,0.9615384615384616,0.9387755102040817
102,0.9615384615384616,0.9591836734693877
103,0.9700854700854701,0.9591836734693877
104,0.9700854700854701,0.9795918367346939
105,0.9829059829059829,0.9795918367346939
106,0.9829059829059829,1.0
107,1.0,1.0
